k,Euclidean_AUC,Euclidean_F1,Euclidean_Accuracy,Cosine_AUC,Cosine_F1,Cosine_Accuracy,Euclidean_Top1,Cosine_Top1,Euclidean_Top3,Cosine_Top3,Euclidean_Top5,Cosine_Top5
1,0.7960,0.6547,0.6594,0.8236,0.7037,0.7105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.8617,0.6161,0.6245,0.8843,0.6824,0.6898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.8933,0.6601,0.6639,0.9145,0.7446,0.7491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.9045,0.6832,0.6881,0.9244,0.7584,0.7634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.9149,0.6891,0.6935,0.9345,0.7793,0.7840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.9241,0.6954,0.7016,0.9451,0.7856,0.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.9274,0.7129,0.7213,0.9528,0.8005,0.8046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.9339,0.7304,0.7410,0.9549,0.7932,0.7974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.9384,0.7304,0.7392,0.9567,0.7898,0.7956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.9403,0.7258,0.7366,0.9565,0.7830,0.7921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.9425,0.7362,0.7455,0.9583,0.7831,0.7912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.9456,0.7322,0.7419,0.9583,0.7836,0.7930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.9470,0.7447,0.7535,0.9583,0.7879,0.7956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.9476,0.7512,0.7589,0.9612,0.7815,0.7903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0.9504,0.7547,0.7634,0.9630,0.7874,0.7948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
